abad/esa;abbot/abbess;;;
abogado;lawyer;;;
académico;academic;;;
acomodador/a;usher/ette;;;
acróbata;acrobat;;;
actor/actriz;actor/actress;;;
acuarelista;water colorist;;;
acupuntor;acupuncturist;;;
adivino;fortune-teller;;;
administrador;administrator;;;
administrativo;administrative;;;
aduanero;customs officer;;;
afilador;knife grinder;;;
afinador;tuner;;;
agente;agent;;;
agricultor;farmer;;;
ajedrecista;chess player;;;
albañil;bricklayer;;;
alcalde/sa;mayor/ess;;;
alergólogo;allergist;;;
alfarero;potter;;;
alpinista;climber;;;
anestesista;anaesthetist;;;
antropólogo;anthropologist;;;
aparejador;quantity surveyor;;;
apicultor;beekeeper;;;
aprendiz de oficio;apprentice;;;
apuntador;prompter;;;
árbitro;arbitrator;;;
árbitro deportivo;referee;;;
archivero (biblioteca);archivist;;;
archivero (oficina);filing clerk;;;
armero (artesano);gunsmith;;;
armero (fabricante);arms manufacturer;;;
arpista;harpist;;;
arqueólogo;archaeologist;;;
arquitecto;architect;;;
arrendador/a;landlord/lady;;;
artesano;artisan;;;
articulista;columnist;;;
artista;artist;;;
arzobispo;archbishop;;;
asesor;adviser;consultant;;
astrólogo;astrologer;;;
astronauta;astronaut;;;
astrónomo;astronomer;;;
atleta;athlete;;;
auditor;auditor;;;
autor;author;;;
aviador;aviator;;;
azafata de vuelo;air hostess;;;
bacteriólogo;bacteriologist;;;
bailarín;dancer;;;
banquero;banker;;;
barbero;barber;;;
barítono;baritone;;;
barón;baron;;;
barrendero;sweeper;;;
basurero;dustman;garbage man;;
bibliotecario;librarian;;;
biógrafo;biographer;;;
biólogo;biologist;;;
bombero;fireman;;;
botánico;botanical;;;
boxeador;boxer;;;
bromista;joker;;;
buzo;diver;;;
callista;chiropodist;;;
camarero/a;waiter/waitress;;;
camionero;lorry driver;;;
campesino;countryman;;;
cantante;singer;;;
cantante de ópera;opera singer;;;
cantero;stonemason;;;
capitán;captain;;;
carbonero;coalman;;;
carcelero;jailer;;;
caricaturista;cartoonist;;;
carnicero;butcher;;;
carpintero;carpenter;;;
cartelero;billposter;;;
cartero;postman;;;
cartógrafo;cartographer;;;
cazador/a;hunter/huntress;;;
cerrajero;locksmith;;;
ciclista;cyclist;;;
científico;scientist;;;
cirujano;surgeon;;;
cirujano plástico;plastic surgeon;;;
clarinetista;clarinettist;;;
cocinero;cook;;;
comentarista;commentator;;;
comerciante;trader;;;
compositor;composer;;;
concejal;town councillor;;;
conde;count;;;
conductor de autobús;bus driver;;;
conferenciante;lecturer;;;
confitero;confectioner;;;
conserje de colegio;hall porter;;;
conserje de edificio oficial;caretaker;;;
conserje de facultad;head porter;;;
constructor;builder;;;
contable;accountant;;;
contrabajo (voz);contrabasso;low bass;;
contralto;contralto;;;
contratista;contractor;;;
copiloto;co-driver;co-pilot;;
copista;copyist;;;
coreógrafo;choreographer;;;
corista;chorister;;;
costurera;dressmaker;;;
criado;servant;;;
crítico;critic;;;
cronista;chronicler;;;
cura;priest;;;
curtidor;tanner;;;
chófer;driver;;;
delegado;delegate;;;
delineante;drowghtsman;;;
dentista;dentist;;;
dependiente;shop assistant;;;
deportista;sportsman;;;
dermatólogo;dermatologist;;;
deshollinador;chimney sweep;;;
detective;detective;;;
detective privado;private detective;;;
dictador;dictator;;;
diplomático;diplomat;;;
diputado;deputy;member of parliament;;
director;director;;;
diseñador;designer;;;
doctorando;PhD student;;;
domador;tamer;;;
dramaturgo;dramatist;;;
duque/sa;duke/duchess;;;
ebanista;cabinetmaker;;;
ecologista;ecologist;;;
economista;economist;;;
editor (publicador);publisher;;;
editor (redactor);editor;;;
ejecutivo;executive;;;
electricista;electrician;;;
embajador/a;ambassador/ambassadress;;;
emperador;emperor;;;
empleado;employee;;;
empleado de banca;bank clerk;;;
empresario;businessman;;;
encantador de serpientes;snake charmer;;;
encargado;manager;person in charge;;
encuadernador;bookbinder;;;
encuestador;pollster;;;
endocrinólogo;endocrinologist;;;
enfermero;nurse;;;
enólogo;oenologist;;;
ensayista;essayist;;;
enterrador;gravedigger;;;
entomólogo;entomologist;;;
entrenador;coach;;;
entrevistador;interviewer;;;
equilibrista;tightrope walker;;;
ermitaño;hermit;;;
escalador;scaler;;;
escaparatista;window dresser;;;
escenógrafo;stage designer;;;
escolta;escort;;;
escritor;writer;;;
escultor;sculptor;;;
especialista;specialist;;;
especialista de cine;stuntman;;;
espectador;spectator;;;
espeleólogo;speleologist;;;
espía;spy;;;
esquiador;skier;;;
esquilador;shearer;;;
estadista matemático;statistician;;;
estadista político;statesman;;;
esteticista;beautician;;;
estomatólogo;stomatologist;;;
estudiante;student;;;
estudiante universitario;university student;;;
etimólogo;etymologist;;;
etnógrafo;ethnographer;;;
etnólogo;ethnologist;;;
excursionista;hiker;tripper;;
expedicionario;member of an expedition;;;
explorador;explorer;;;
exportador;exporter;;;
fabricante;maker;manufacturer;;
fagotista;bassoonist;;;
faraón;Pharaoh;;;
farmacéutico;chemist;druggist;pharmacist;
feriante;fair-goers;;;
figurante;extra;;;
filólogo;philologist;;;
filósofo;philosopher;;;
fiscal;public prosecutor;;;
físico;physicist;;;
fisioterapeuta;phisiotherapist;;;
flautista;flutist;;;
floricultor;flower-grower;;;
florista;florist;;;
fonólogo;phonologist;;;
fontanero;plumber;;;
forense;forensic scientist;;;
fotógrafo;photographer;;;
fraile;friar;;;
frutero;fruiterer;;;
fumigador;exterminator;;;
funcionario público;civil servant;;;
futbolista;footballer;;;
gaitero;piper;;;
ganadero;stockman;;;
gastrónomo;gastronome;gourmet;;
geriatra;geriatrician;;;
gestor;agent;manager;;
gimnasta;gymnast;;;
ginecólogo;gynaecologist;;;
gobernador;governor;;;
golfista;golfer;;;
gondolero;gondolier;;;
grabador;engraver;;;
grafólogo;graphologist;;;
guardia civil;civil guard;;;
guardia de tráfico;traffic policeman;;;
guardia urbano;policeman;;;
guerrero;warrior;;;
guerrillero;guerrilla;;;
guía;guide;;;
guía turístico;tour guide;;;
guionista;scriptwriter;;;
guitarrista;guitarist;;;
heladero;ice cream seller;;;
herrador;farrier;;;
herrero;smith;;;
hilandero;spinner;;;
hipnotizador;hypnotist;;;
historiador;historian;;;
hojalatero;tinsmith;;;
homeópata;homeopath;;;
hortelano;gardener;;;
horticultor;horticulturist;;;
hostelero;innkeeper;;;
hotelero;hotelier;;;
humorista;humorist;;;
ilustrador;illustrator;;;
importador;importer;;;
ingeniero de caminos;civil engineer;;;
ingeniero forestal;forestry expert;;;
ingeniero industrial;industrial engineer;;;
inquilino;tenant;;;
inspector;inspector;;;
institutriz;governess;;;
intérprete;interpreter;;;
interventor;controller;;;
inventor;inventor;;;
investigador;investigator;;;
jardinero;gardener;;;
jefe;boss;chief;head;leader
jefe de cocina;chef;;;
jefe de estado;head of state;;;
jinete;horseman;;;
jornalero;labourer;;;
joyero;jeweller;;;
juez;judge;;;
labrador;farmworker;;;
lavandero;laundryman;;;
leñador;woodcutter;;;
librero;bookseller;;;
linguista;linguist;;;
litógrafo;lithographer;;;
locutor deportivo;sports commentator;;;
locutor de radio;announcer;newsreader;;
logopeda;speech therapist;;;
loquero;psychiatric nurse;;;
maestro;master;;;
mafioso;gangster;mafioso;;
magistrado;magistrate;;;
mago;magician;wizard;;
malabarista;juggler;;;
maquetista;model maker;;;
maquillador;make-up artist;;;
maquinista;machinist;;;
maratoniano;marathon runner;;;
marinero;sailor;;;
marqués/a;marquis/marchioness;;;
masajista/a;masseur/masseuse;;;
matemático;mathematician;;;
mayordomo;butler;;;
mecánico;mechanic;;;
mecanógrafo;typist;;;
médico;doctor;;;
médico partero;obstetrician;;;
metalúrgico;metallurgist;metalworker;;
meteorólogo;meteorologist;;;
minero;miner;;;
ministro;minister;;;
mitólogo;mythologist;;;
modelo;model;;;
moderador;moderator;;;
modista;dressmaker;;;
molinero;miller;;;
monja;nun;;;
monje;monk;;;
montañero;mountaineer;;;
músico;musician;;;
nadador;swimmer;;;
médico naturista;naturopath;;;
neurocirujano;neurosurgeon;;;
neurólogo;neurologist;;;
niñera;nanny;;;
notario;notary;;;
novelista;novelist;;;
obispo;bishop;;;
obrero;worker;;;
oculista;oculist;;;
odontólogo;odontologist;;;
oficinista;clerk;office worker;;
oftalmólogo;ophthalmologist;;;
oncólogo;oncologist;;;
orfebre;gold/silversmith;;;
organista;organist;;;
ornitólogo;ornithologist;;;
ortopedista;orthopaedist;;;
osteólogo;osteologist;;;
osteópata;osteopath;;;
otorrinolaringólogo;ENT specialist;otolaryngologist;;
paleólogo;paleologist;;;
paleontólogo;paleontologist;;;
panadero;baker;;;
papa;pope;;;
paracaidista;parachutist;;;
parlamentario;parliamentarian;;;
párroco;parish priest;;;
pastelero;pastry cook;;;
pastor de cabras;goatherd;;;
pastor de ovejas;shepherd;;;
pastor de vacas;cowherd;;;
patinador;skater;;;
patólogo;forensic scientist;;;
payaso;clown;;;
pedagogo;pedagogue;;;
pediatra, puericultor;paediatrician;;;
peletero;furrier;;;
peluquero;hairdresser;;;
perfumista;perfumer;;;
periodista;journalist;;;
pescadero;fishmonger;;;
pescador;fisherman;;;
pianista;pianist;;;
piloto;pilot;;;
pintor;painter;;;
pintor de brocha gorda;painter and decorator;;;
piraguista;canoeist;;;
pirotécnico;pyrotechnic;;;
piscicultor;fish farmer;;;
podólogo;chiropodist;;;
poeta;poet;;;
policía;police;;;
político;politician;;;
presidente;president;;;
prestamista;moneylender;;;
prestidigitador;conjurer;;;
príncipe/princesa;prince/ss;;;
procurador;attorney;;;
profesor;teacher;;;
programador de aplicaciones;applications programmer;;;
programador de sistemas;systems programmer;;;
programador informático;computer programmer;;;
psicólogo;psychologist;;;
psiquiatra;psychiatrist;;;
químico;chemist;;;
radiólogo;radiologist;;;
recaudador;collector;;;
rector;rector;;;
relojero;clock/watchmaker;;;
repartidor;distributor;;;
repartidor de periódicos;paperboy;;;
reportero;reporter;;;
restaurador (arte);restorer;;;
restaurador (hotel);restaurateur;;;
retratista;portraitist;;;
reumatólogo;rheumatologist;;;
sacerdote;priest;;;
sargento;sergeant;;;
sastre;tailor;;;
secretario;secretary;;;
senador;senator;;;
sexólogo;sexologist;;;
silvicultor;forestry expert;;;
sindicalista;trade unionist;;;
sociólogo;sociologist;;;
socorrista;lifeguard;;;
soldado;soldier;;;
soldador;welder;;;
soprano;soprano;;;
submarinista;scuba diver;;;
supervisor;supervisor;;;
tabernero;barman;;;
tapicero;upholsterer;;;
taquillero;ticket clerk;;;
tasador;valuer;;;
taxista;taxi driver;;;
técnico;technician;;;
telegrafista;telegraphist;;;
tendero;shopkeeper;;;
tenista;tennis player;;;
teólogo;theologist;;;
teósofo;theosophist;;;
terapeuta;therapist;;;
tertuliano;member of a social gathering;;;
tertuliano (radio);talk show guest;;;
tintorero;dry cleaner;dyer;;
tipógrafo;printer;typographer;;
titiritero;puppeteer;;;
topógrafo;topographer;;;
torero;bullfighter;;;
tornero;lathe operator;;;
toxicólogo;toxicologist;;;
traductor;translator;;;
traficante de armas;arms dealer;;;
traficante de drogas;drug dealer;;;
traficante de esclavos;slave trader;;;
transcriptor;transcriber;;;
transportista;carrier;;;
trapecista;trapeze artist;;;
traumatólogo;traumatologist;;;
tripulante;crew member;;;
tutor;tutor;;;
urbanista;city/town planner;;;
urólogo;urologist;;;
vaquero;cowboy;;;
vendimiador;vintager;;;
ventrílocuo;ventriloquist;;;
veterinario;vet;veterinarian;;
vidriero;glazier;;;
vigilante;security guard;store detective;;
vinicultor;wine grower;;;
violinista;violinist;;;
violonchelista;cellist;;;
viticultor;vine grower;;;
yesero;plasterer;;;
zapatero (fabricante);shoemaker;;;
zapatero (reparación);cobbler;;;
zoólogo;zoologist;;;
